,complexinfo,FREQUENCY,CELL_ID,ConnNoAvg,ConnNoMax,ConnNoTot,ConnNoCnt,ReleaseCallHoldingTimeAvg,ReleaseCallHoldingTimeTot,ReleaseCallHoldingTimeCnt,eNB,time
0,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),2.1GHz(20M),cNum15,16.3,27,2445,150,14.26,3937,276,1-26507,09:05
1,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),2.1GHz(20M),cNum7,30.16,43,4524,150,16.04,9157,571,1-26507,09:05
2,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),1.8GHz(20M),cNum12,17.53,28,2629,150,12.25,4203,343,1-26507,09:05
3,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),1.8GHz(20M),cNum3,24.27,39,3641,150,17.36,7170,413,1-26507,09:05
4,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),800MHz,cNum10,21.11,27,3166,150,14.39,4647,323,1-26507,09:05
5,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),800MHz,cNum9,14.71,24,2206,150,18.15,3867,213,1-26507,09:05
6,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),800MHz,cNum2,6.92,12,1038,150,44.35,5056,114,1-26507,09:05
7,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),800MHz,cNum1,8.73,15,1310,150,19.3,2876,149,1-26507,09:05
8,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),800MHz,cNum0,16.15,23,2422,150,18.63,4993,268,1-26507,09:05
9,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),2.1GHz(20M),cNum17,9.66,16,1449,150,18.9,3289,174,1-26507,09:05
10,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),2.1GHz(20M),cNum8,10.62,18,1593,150,18.6,2493,134,1-26507,09:05
11,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),1.8GHz(20M),cNum14,13.07,20,1961,150,16.28,3094,190,1-26507,09:05
12,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),2.1GHz(20M),cNum6,23.05,36,3457,150,16.26,6244,384,1-26507,09:05
13,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),1.8GHz(20M),cNum13,36.47,52,5470,150,16.99,11517,678,1-26507,09:05
14,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),1.8GHz(20M),cNum5,11.31,21,1696,150,21.75,2936,135,1-26507,09:05
15,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),1.8GHz(20M),cNum4,29.63,51,4445,150,22.2,10502,473,1-26507,09:05
16,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),800MHz,cNum11,5.25,12,788,150,23.36,2032,87,1-26507,09:05
17,S동대문제기_동대문구B1LDN_10(1-26507):(09:00-09:05),2.1GHz(20M),cNum16,49.93,73,7489,150,15.38,14979,974,1-26507,09:05
18,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),2.1GHz(20M),cNum7,29.08,42,4362,150,21.04,9700,461,1-26507,09:10
19,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),2.1GHz(20M),cNum15,17.71,25,2656,150,14.23,4113,289,1-26507,09:10
20,S동대문제기_동대문구B1LDN_10(1-26507):(09:05-09:10),2.1GHz(20M),cNum6,26.69,40,4003,150,17.01,7060,415,1-26507,09:10
