"FREQUENCY","cellid","lat","lon"
"800MHz","1-17109-2",37.583383,127.06307
"1.8GHz(20M)","1-17109-5",37.571667,127.056814
"1.8GHz(20M)","1-17109-6",37.58455,127.044462
"800MHz","1-17109-9",37.583383,127.06307
"800MHz","1-17112-0",37.578833,127.059692
"1.8GHz(20M)","1-17112-12",37.58,127.069758
"2.1GHz(20M)","1-17112-15",37.58,127.069758
"1.8GHz(20M)","1-17112-3",37.579533,127.059707
"800MHz","1-17124-0",37.581667,127.055722
"800MHz","1-17124-1",37.567233,127.054449
"1.8GHz(20M)","1-17124-12",37.570017,127.072775
"1.8GHz(20M)","1-17124-3",37.581667,127.055722
"1.8GHz(20M)","1-17124-4",37.567233,127.054449
"2.1GHz(20M)","1-17124-6",37.573833,127.0557
"800MHz","1-17124-9",37.570017,127.072775
"800MHz","1-17128-0",37.566833,127.05078
"1.8GHz(20M)","1-17128-3",37.566833,127.05078
"800MHz","1-20229-0",37.60355,127.080584
"800MHz","1-20229-1",37.606033,127.078598
"800MHz","1-20229-10",37.6145,127.080503
"800MHz","1-20229-11",37.606267,127.081729
"1.8GHz(20M)","1-20229-12",37.6155,127.079861
"1.8GHz(20M)","1-20229-13",37.6145,127.080503
"1.8GHz(20M)","1-20229-14",37.607167,127.081694
"2.1GHz(20M)","1-20229-15",37.6155,127.079861
"800MHz","1-20229-2",37.606167,127.081581
"1.8GHz(20M)","1-20229-3",37.60355,127.080584
"1.8GHz(20M)","1-20229-4",37.606033,127.078598
"1.8GHz(20M)","1-20229-5",37.606167,127.081858
"2.1GHz(20M)","1-20229-6",37.60355,127.080584
"2.1GHz(20M)","1-20229-7",37.606933,127.07861
"800MHz","1-20229-9",37.6155,127.079861
"800MHz","1-20232-0",37.607667,127.080978
"800MHz","1-20232-1",37.590433,127.087974
"800MHz","1-20232-10",37.6184,127.085074
"800MHz","1-20232-11",37.599167,127.088556
"1.8GHz(20M)","1-20232-12",37.62,127.086972
"1.8GHz(20M)","1-20232-13",37.6184,127.085074
"1.8GHz(20M)","1-20232-14",37.59415,127.088429
"2.1GHz(20M)","1-20232-15",37.62,127.086972
"2.1GHz(20M)","1-20232-17",37.59415,127.088429
"1.8GHz(20M)","1-20232-3",37.607667,127.080978
"1.8GHz(20M)","1-20232-4",37.590433,127.087974
"1.8GHz(20M)","1-20232-5",37.592183,127.085232
"2.1GHz(20M)","1-20232-6",37.607667,127.080978
"2.1GHz(20M)","1-20232-7",37.591667,127.087972
"2.1GHz(20M)","1-20232-8",37.592183,127.085232
"800MHz","1-20232-9",37.62,127.086972
"800MHz","1-20233-0",37.590333,127.082094
"800MHz","1-20233-1",37.598,127.079889
"800MHz","1-20233-11",37.596167,127.079886
"1.8GHz(20M)","1-20233-12",37.595333,127.076511
"1.8GHz(20M)","1-20233-13",37.60355,127.080584
"1.8GHz(20M)","1-20233-14",37.596167,127.079886
"2.1GHz(20M)","1-20233-15",37.595333,127.076511
"2.1GHz(20M)","1-20233-17",37.596167,127.079886
"800MHz","1-20233-2",37.598,127.079889
"1.8GHz(20M)","1-20233-3",37.590333,127.082094
"1.8GHz(20M)","1-20233-4",37.598,127.079889
"1.8GHz(20M)","1-20233-5",37.598,127.079889
"2.1GHz(20M)","1-20233-6",37.590333,127.082094
"2.1GHz(20M)","1-20233-7",37.598,127.079889
"2.1GHz(20M)","1-20233-8",37.59805,127.079901
"800MHz","1-20233-9",37.595333,127.076511
"800MHz","1-20234-0",37.592667,127.075119
"800MHz","1-20234-1",37.583667,127.075464
"800MHz","1-20234-10",37.589,127.072642
"800MHz","1-20234-11",37.592,127.0861
"1.8GHz(20M)","1-20234-12",37.592,127.077147
"1.8GHz(20M)","1-20234-13",37.589,127.073197
"1.8GHz(20M)","1-20234-14",37.592,127.0861
"2.1GHz(20M)","1-20234-15",37.592,127.077147
"2.1GHz(20M)","1-20234-16",37.589,127.072642
"2.1GHz(20M)","1-20234-17",37.592,127.0861
"800MHz","1-20234-2",37.5908,127.075163
"1.8GHz(20M)","1-20234-3",37.592667,127.075119
"1.8GHz(20M)","1-20234-4",37.583667,127.075464
"1.8GHz(20M)","1-20234-5",37.5908,127.075163
"2.1GHz(20M)","1-20234-6",37.592667,127.075119
"2.1GHz(20M)","1-20234-7",37.583667,127.076019
"2.1GHz(20M)","1-20234-8",37.590733,127.075163
"800MHz","1-20234-9",37.592,127.077147
"800MHz","1-20236-0",37.58915,127.084494
"800MHz","1-20236-1",37.592867,127.085369
"800MHz","1-20236-10",37.599333,127.098678
"800MHz","1-20236-11",37.596667,127.089878
"1.8GHz(20M)","1-20236-12",37.588017,127.082975
"1.8GHz(20M)","1-20236-13",37.566683,127.089738
"1.8GHz(20M)","1-20236-15",37.615467,127.106217
"1.8GHz(20M)","1-20236-16",37.58385,127.100297
"1.8GHz(20M)","1-20236-17",37.576233,127.089636
"800MHz","1-20236-18",37.588017,127.082975
"800MHz","1-20236-19",37.566683,127.089738
"800MHz","1-20236-2",37.6184,127.085074
"800MHz","1-20236-27",37.6095,127.106169
"800MHz","1-20236-28",37.58385,127.100297
"800MHz","1-20236-29",37.576233,127.089636
"1.8GHz(20M)","1-20236-3",37.58915,127.084494
"1.8GHz(20M)","1-20236-4",37.592867,127.085369
"1.8GHz(20M)","1-20236-5",37.6184,127.085074
"1.8GHz(20M)","1-20236-7",37.599333,127.098678
"1.8GHz(20M)","1-20236-8",37.596667,127.089878
"800MHz","1-20238-0",37.58,127.091092
"800MHz","1-20238-1",37.581667,127.083958
"800MHz","1-20238-10",37.581667,127.092036
"800MHz","1-20238-11",37.57,127.094125
"1.8GHz(20M)","1-20238-12",37.5905,127.088114
"1.8GHz(20M)","1-20238-13",37.581667,127.092036
"1.8GHz(20M)","1-20238-14",37.5695,127.094403
"2.1GHz(20M)","1-20238-15",37.592167,127.086772
"2.1GHz(20M)","1-20238-16",37.581667,127.092036
"2.1GHz(20M)","1-20238-17",37.57,127.094125
"800MHz","1-20238-2",37.568833,127.086806
"1.8GHz(20M)","1-20238-3",37.58,127.091092
"1.8GHz(20M)","1-20238-4",37.581667,127.083958
"1.8GHz(20M)","1-20238-5",37.568833,127.086806
"2.1GHz(20M)","1-20238-6",37.58,127.091092
"2.1GHz(20M)","1-20238-7",37.57165,127.08396
"2.1GHz(20M)","1-20238-8",37.568883,127.086806
"800MHz","1-20238-9",37.592167,127.088161
"800MHz","1-20241-0",37.598917,127.096805
"800MHz","1-20241-1",37.589333,127.100992
"800MHz","1-20241-10",37.5935,127.102169
"800MHz","1-20241-11",37.595333,127.096597
"1.8GHz(20M)","1-20241-12",37.592367,127.094582
"1.8GHz(20M)","1-20241-13",37.5935,127.102169
"1.8GHz(20M)","1-20241-14",37.595667,127.096569
"2.1GHz(20M)","1-20241-15",37.592367,127.094582
"2.1GHz(20M)","1-20241-17",37.595667,127.096569
"800MHz","1-20241-2",37.59305,127.101154
"1.8GHz(20M)","1-20241-3",37.598917,127.096805
"1.8GHz(20M)","1-20241-4",37.589333,127.100992
"1.8GHz(20M)","1-20241-5",37.59305,127.101154
"2.1GHz(20M)","1-20241-6",37.598917,127.096805
"2.1GHz(20M)","1-20241-7",37.589333,127.100992
"2.1GHz(20M)","1-20241-8",37.59305,127.100876
"800MHz","1-20241-9",37.592367,127.094582
