"eNB","cell","radio","lat","lon","lat_1_re","lon_1_re"
"17109","2","800MHz","37:35.02/003","127:03.47/053",37.583383,127.06307
"17109","5","1.8GHz(20M)","37:34.43/3  ","127:3.24/53 ",37.571667,127.056814
"17109","6","1.8GHz(20M)","37:35.26/073","127:02.40/063",37.58455,127.044462
"17109","9","800MHz","37:35.02/003","127:03.47/053",37.583383,127.06307
"17112","0","800MHz","37:34.46/73 ","127:3.34/89 ",37.578833,127.059692
"17112","12","1.8GHz(20M)","37:34.0/80 ","127:4.11/13 ",37.58,127.069758
"17112","15","2.1GHz(20M)","37:34.0/80 ","127:4.11/13 ",37.58,127.069758
"17112","3","1.8GHz(20M)","37:34.46/772","127:3.34/944",37.579533,127.059707
"17124","0","800MHz","37:34.33/9  ","127:3.20/60 ",37.581667,127.055722
"17124","1","800MHz","37:34.54/034","127:03.16/015",37.567233,127.054449
"17124","12","1.8GHz(20M)","37:34.41/201","127:04.21/991",37.570017,127.072775
"17124","3","1.8GHz(20M)","37:34.33/9  ","127:3.20/60 ",37.581667,127.055722
"17124","4","1.8GHz(20M)","37:34.54/034","127:03.16/015",37.567233,127.054449
"17124","6","2.1GHz(20M)","37:34.33/430","127:3.20/520",37.573833,127.0557
"17124","9","800MHz","37:34.41/201","127:04.21/991",37.570017,127.072775
"17128","0","800MHz","37:34.39/010","127:03.02/808",37.566833,127.05078
"17128","3","1.8GHz(20M)","37:34.39/010","127:03.02/808",37.566833,127.05078
"20229","0","800MHz","37:36.54/213","127:4.50/101",37.60355,127.080584
"20229","1","800MHz","37:36.47/362","127:4.42/954",37.606033,127.078598
"20229","10","800MHz","37:36.48/87 ","127:4.49/81 ",37.6145,127.080503
"20229","11","800MHz","37:36.46/376","127:4.54/226",37.606267,127.081729
"20229","12","1.8GHz(20M)","37:36.32/93 ","127:4.47/50 ",37.6155,127.079861
"20229","13","1.8GHz(20M)","37:36.48/87 ","127:4.49/81 ",37.6145,127.080503
"20229","14","1.8GHz(20M)","37:36.44/43 ","127:4.54/10 ",37.607167,127.081694
"20229","15","2.1GHz(20M)","37:36.32/930","127:4.47/500",37.6155,127.079861
"20229","2","800MHz","37:36.42/37 ","127:4.53/69 ",37.606167,127.081581
"20229","3","1.8GHz(20M)","37:36.54/213","127:4.50/101",37.60355,127.080584
"20229","4","1.8GHz(20M)","37:36.47/362","127:4.42/954",37.606033,127.078598
"20229","5","1.8GHz(20M)","37:36.44/37 ","127:4.54/69 ",37.606167,127.081858
"20229","6","2.1GHz(20M)","37:36.54/213","127:4.50/101",37.60355,127.080584
"20229","7","2.1GHz(20M)","37:36.47/416","127:4.42/997",37.606933,127.07861
"20229","9","800MHz","37:36.32/93 ","127:4.47/50 ",37.6155,127.079861
"20232","0","800MHz","37:36.25/46 ","127:4.51/52 ",37.607667,127.080978
"20232","1","800MHz","37:35.17/426","127:05.16/707",37.590433,127.087974
"20232","10","800MHz","37:37.01/104","127:05.06/266",37.6184,127.085074
"20232","11","800MHz","37:35.9/95 ","127:5.18/801",37.599167,127.088556
"20232","12","1.8GHz(20M)","37:37.5/20 ","127:5.13/10 ",37.62,127.086972
"20232","13","1.8GHz(20M)","37:37.01/104","127:05.06/266",37.6184,127.085074
"20232","14","1.8GHz(20M)","37:35.8/649","127:5.18/346",37.59415,127.088429
"20232","15","2.1GHz(20M)","37:37.5/200","127:5.13/100",37.62,127.086972
"20232","17","2.1GHz(20M)","37:35.8/649","127:5.18/346",37.59415,127.088429
"20232","3","1.8GHz(20M)","37:36.25/46 ","127:4.51/52 ",37.607667,127.080978
"20232","4","1.8GHz(20M)","37:35.17/426","127:05.16/707",37.590433,127.087974
"20232","5","1.8GHz(20M)","37:35.10/531","127:5.6/835",37.592183,127.085232
"20232","6","2.1GHz(20M)","37:36.25/460","127:4.51/520",37.607667,127.080978
"20232","7","2.1GHz(20M)","37:35.17/500","127:05.16/700",37.591667,127.087972
"20232","8","2.1GHz(20M)","37:35.10/531","127:5.6/835",37.592183,127.085232
"20232","9","800MHz","37:37.5/20 ","127:5.13/10 ",37.62,127.086972
"20233","0","800MHz","37:35.37/42 ","127:4.55/54 ",37.590333,127.082094
"20233","1","800MHz","37:35.40/880","127:4.47/600",37.598,127.079889
"20233","11","800MHz","37:35.43/77 ","127:4.47/59 ",37.596167,127.079886
"20233","12","1.8GHz(20M)","37:35.37/72 ","127:4.35/44 ",37.595333,127.076511
"20233","13","1.8GHz(20M)","37:36.54/213","127:4.50/101",37.60355,127.080584
"20233","14","1.8GHz(20M)","37:35.43/77 ","127:4.47/59 ",37.596167,127.079886
"20233","15","2.1GHz(20M)","37:35.37/72 ","127:4.35/44 ",37.595333,127.076511
"20233","17","2.1GHz(20M)","37:35.43/77 ","127:4.47/59 ",37.596167,127.079886
"20233","2","800MHz","37:35.40/880","127:4.47/600",37.598,127.079889
"20233","3","1.8GHz(20M)","37:35.37/42 ","127:4.55/54 ",37.590333,127.082094
"20233","4","1.8GHz(20M)","37:35.40/88 ","127:4.47/6  ",37.598,127.079889
